predict_date,predict_power_consumption
20161001,3166491
20161002,3142594
20161003,3401925
20161004,3566815
20161005,3649771
20161006,3707540
20161007,3760136
20161008,3734423
20161009,3452642
20161010,3696826
20161011,3708908
20161012,3723511
20161013,3700115
20161014,3673036
20161015,3591245
20161016,3530758
20161017,3764485
20161018,3788956
20161019,3788266
20161020,3868456
20161021,3911002
20161022,3863223
20161023,3566776
20161024,3911219
20161025,3922060
20161026,3923813
20161027,3917750
20161028,3881544
20161029,3756860
20161030,3542220
20161031,3750128
