2016/10/1	3083354
2016/10/2	3123510
2016/10/3	3334518
2016/10/4	3667928
2016/10/5	3799292
2016/10/6	3835720
2016/10/7	3871576
2016/10/8	3819638
2016/10/9	3702715
2016/10/10	3863058
2016/10/11	3902322
2016/10/12	3853009
2016/10/13	3921789
2016/10/14	3949920
2016/10/15	3919237
2016/10/16	3761632
2016/10/17	4050156
2016/10/18	4110949
2016/10/19	4198396
2016/10/20	4205783
2016/10/21	4196332
2016/10/22	4030816
2016/10/23	3895018
2016/10/24	4070610
2016/10/25	4205937
2016/10/26	4213500
2016/10/27	4143220
2016/10/28	4179198
2016/10/29	4087537
2016/10/30	3725423
2016/10/31	4095859
